ID_OCU,AÑO_REG,CVE,DES,CAT,CAT_DES
1990.2,1990,2,No trabaja ,4,No trabajaba
1990.11,1990,11,Profesionistas ,8,Profesionista o técnicos
1990.12,1990,12,Técnicos ,8,Profesionista o técnicos
1990.13,1990,13,Trabajadores de la enseñanza,8,Profesionista o técnicos
1990.14,1990,14,"Trabajadores del arte, espectáculos y deportes ",3,"Empleados, auxiliares o ayudantes"
1990.21,1990,21,Funcionarios superiores de la administración pública ,7,Directores o coordinadores
1990.22,1990,22,Funcionarios superiores y propietarios del sector privado excepto agropecuario ,7,Directores o coordinadores
1990.31,1990,31,Administradores y propietarios del sector agropecuario ,1,Agricultor
1990.41,1990,41,Capataces y mayorales en el proceso de producción agropecuaria ,1,Agricultor
1990.42,1990,42,Trabajadores directos en el proceso de producción agropecuaria ,3,"Empleados, auxiliares o ayudantes"
1990.43,1990,43,Personal de apoyo en el proceso de producción agropecuaria ,1,Agricultor
1990.51,1990,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1990.52,1990,52,Trabajadores directos en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1990.53,1990,53,Ayudantes en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1990.61,1990,61,Trabajadores administrativos de nivel medio e inferior ,3,"Empleados, auxiliares o ayudantes"
1990.71,1990,71,"Vendedores, dependientes y agentes de ventas ",5,Comerciantes
1990.72,1990,72,Vendedores sin establecimiento fijo ,5,Comerciantes
1990.81,1990,81,"Trabajadores en servicios al público, excepto doméstico ",3,"Empleados, auxiliares o ayudantes"
1990.82,1990,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1990.83,1990,83,"Operadores de equipo de transporte, excepto particulares ",6,Operadores o conductores
1990.84,1990,84,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1990.98,1990,98,No clasificadas anteriormente ,9,No especificado
1990.99,1990,99,No especificada,9,No especificado
1991.2,1991,2,No trabaja ,4,No trabajaba
1991.11,1991,11,Profesionistas ,8,Profesionista o técnicos
1991.12,1991,12,Técnicos ,8,Profesionista o técnicos
1991.13,1991,13,Trabajadores de la enseñanza,8,Profesionista o técnicos
1991.14,1991,14,"Trabajadores del arte, espectáculos y deportes ",3,"Empleados, auxiliares o ayudantes"
1991.21,1991,21,Funcionarios superiores de la administración pública ,7,Directores o coordinadores
1991.22,1991,22,Funcionarios superiores y propietarios del sector privado excepto agropecuario ,7,Directores o coordinadores
1991.31,1991,31,Administradores y propietarios del sector agropecuario ,1,Agricultor
1991.41,1991,41,Capataces y mayorales en el proceso de producción agropecuaria ,1,Agricultor
1991.42,1991,42,Trabajadores directos en el proceso de producción agropecuaria ,3,"Empleados, auxiliares o ayudantes"
1991.43,1991,43,Personal de apoyo en el proceso de producción agropecuaria ,1,Agricultor
1991.51,1991,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1991.52,1991,52,Trabajadores directos en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1991.53,1991,53,Ayudantes en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1991.61,1991,61,Trabajadores administrativos de nivel medio e inferior ,3,"Empleados, auxiliares o ayudantes"
1991.71,1991,71,"Vendedores, dependientes y agentes de ventas ",5,Comerciantes
1991.72,1991,72,Vendedores sin establecimiento fijo ,5,Comerciantes
1991.81,1991,81,"Trabajadores en servicios al público, excepto doméstico ",3,"Empleados, auxiliares o ayudantes"
1991.82,1991,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1991.83,1991,83,"Operadores de equipo de transporte, excepto particulares ",6,Operadores o conductores
1991.84,1991,84,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1991.98,1991,98,No clasificadas anteriormente ,9,No especificado
1991.99,1991,99,No especificada,9,No especificado
1992.2,1992,2,No trabaja ,4,No trabajaba
1992.11,1992,11,Profesionistas ,8,Profesionista o técnicos
1992.12,1992,12,Técnicos ,8,Profesionista o técnicos
1992.13,1992,13,Trabajadores de la educación ,8,Profesionista o técnicos
1992.14,1992,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1992.21,1992,21,Funcionarios y directivos ,7,Directores o coordinadores
1992.41,1992,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1992.51,1992,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1992.52,1992,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1992.53,1992,53,Operadores de maquinaria fija ,6,Operadores o conductores
1992.54,1992,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1992.55,1992,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1992.61,1992,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1992.62,1992,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1992.71,1992,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1992.72,1992,72,Vendedores ambulantes ,5,Comerciantes
1992.81,1992,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1992.82,1992,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1992.83,1992,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1992.98,1992,98,Insuficientemente especificada ,9,No especificado
1992.99,1992,99,No especificada,9,No especificado
1993.2,1993,2,No trabaja ,4,No trabajaba
1993.11,1993,11,Profesionistas ,8,Profesionista o técnicos
1993.12,1993,12,Técnicos ,8,Profesionista o técnicos
1993.13,1993,13,Trabajadores de la educación ,8,Profesionista o técnicos
1993.14,1993,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1993.21,1993,21,Funcionarios y directivos ,7,Directores o coordinadores
1993.41,1993,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1993.51,1993,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1993.52,1993,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1993.53,1993,53,Operadores de maquinaria fija ,6,Operadores o conductores
1993.54,1993,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1993.55,1993,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1993.61,1993,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1993.62,1993,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1993.71,1993,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1993.72,1993,72,Vendedores ambulantes ,5,Comerciantes
1993.81,1993,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1993.82,1993,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1993.83,1993,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1993.98,1993,98,Insuficientemente especificada ,9,No especificado
1993.99,1993,99,No especificada,9,No especificado
1994.2,1994,2,No trabaja ,4,No trabajaba
1994.11,1994,11,Profesionistas ,8,Profesionista o técnicos
1994.12,1994,12,Técnicos ,8,Profesionista o técnicos
1994.13,1994,13,Trabajadores de la educación ,8,Profesionista o técnicos
1994.14,1994,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1994.21,1994,21,Funcionarios y directivos ,7,Directores o coordinadores
1994.41,1994,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1994.51,1994,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1994.52,1994,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1994.53,1994,53,Operadores de maquinaria fija ,6,Operadores o conductores
1994.54,1994,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1994.55,1994,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1994.61,1994,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1994.62,1994,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1994.71,1994,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1994.72,1994,72,Vendedores ambulantes ,5,Comerciantes
1994.81,1994,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1994.82,1994,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1994.83,1994,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1994.98,1994,98,Insuficientemente especificada ,9,No especificado
1994.99,1994,99,No especificada,9,No especificado
1995.2,1995,2,No trabaja ,4,No trabajaba
1995.11,1995,11,Profesionistas ,8,Profesionista o técnicos
1995.12,1995,12,Técnicos ,8,Profesionista o técnicos
1995.13,1995,13,Trabajadores de la educación ,8,Profesionista o técnicos
1995.14,1995,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1995.21,1995,21,Funcionarios y directivos ,7,Directores o coordinadores
1995.41,1995,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1995.51,1995,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1995.52,1995,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1995.53,1995,53,Operadores de maquinaria fija ,6,Operadores o conductores
1995.54,1995,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1995.55,1995,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1995.61,1995,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1995.62,1995,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1995.71,1995,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1995.72,1995,72,Vendedores ambulantes ,5,Comerciantes
1995.81,1995,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1995.82,1995,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1995.83,1995,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1995.98,1995,98,Insuficientemente especificada ,9,No especificado
1995.99,1995,99,No especificada,9,No especificado
1996.2,1996,2,No trabaja ,4,No trabajaba
1996.11,1996,11,Profesionistas ,8,Profesionista o técnicos
1996.12,1996,12,Técnicos ,8,Profesionista o técnicos
1996.13,1996,13,Trabajadores de la educación ,8,Profesionista o técnicos
1996.14,1996,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1996.21,1996,21,Funcionarios y directivos ,7,Directores o coordinadores
1996.41,1996,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1996.51,1996,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1996.52,1996,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1996.53,1996,53,Operadores de maquinaria fija ,6,Operadores o conductores
1996.54,1996,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1996.55,1996,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1996.61,1996,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1996.62,1996,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1996.71,1996,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1996.72,1996,72,Vendedores ambulantes ,5,Comerciantes
1996.81,1996,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1996.82,1996,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1996.83,1996,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1996.98,1996,98,Insuficientemente especificada ,9,No especificado
1996.99,1996,99,No especificada,9,No especificado
1997.2,1997,2,No trabaja ,4,No trabajaba
1997.11,1997,11,Profesionistas ,8,Profesionista o técnicos
1997.12,1997,12,Técnicos ,8,Profesionista o técnicos
1997.13,1997,13,Trabajadores de la educación ,8,Profesionista o técnicos
1997.14,1997,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1997.21,1997,21,Funcionarios y directivos ,7,Directores o coordinadores
1997.41,1997,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1997.51,1997,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1997.52,1997,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1997.53,1997,53,Operadores de maquinaria fija ,6,Operadores o conductores
1997.54,1997,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1997.55,1997,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1997.61,1997,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1997.62,1997,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1997.71,1997,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1997.72,1997,72,Vendedores ambulantes ,5,Comerciantes
1997.81,1997,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1997.82,1997,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1997.83,1997,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1997.98,1997,98,Insuficientemente especificada ,9,No especificado
1997.99,1997,99,No especificada,9,No especificado
1998.2,1998,2,No trabaja ,4,No trabajaba
1998.11,1998,11,Profesionistas ,8,Profesionista o técnicos
1998.12,1998,12,Técnicos ,8,Profesionista o técnicos
1998.13,1998,13,Trabajadores de la educación ,8,Profesionista o técnicos
1998.14,1998,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1998.21,1998,21,Funcionarios y directivos ,7,Directores o coordinadores
1998.41,1998,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1998.51,1998,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1998.52,1998,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1998.53,1998,53,Operadores de maquinaria fija ,6,Operadores o conductores
1998.54,1998,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1998.55,1998,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1998.61,1998,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1998.62,1998,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1998.71,1998,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1998.72,1998,72,Vendedores ambulantes ,5,Comerciantes
1998.81,1998,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1998.82,1998,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1998.83,1998,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1998.98,1998,98,Insuficientemente especificada ,9,No especificado
1998.99,1998,99,No especificada,9,No especificado
1999.2,1999,2,No trabaja ,4,No trabajaba
1999.11,1999,11,Profesionistas ,8,Profesionista o técnicos
1999.12,1999,12,Técnicos ,8,Profesionista o técnicos
1999.13,1999,13,Trabajadores de la educación ,8,Profesionista o técnicos
1999.14,1999,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
1999.21,1999,21,Funcionarios y directivos ,7,Directores o coordinadores
1999.41,1999,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
1999.51,1999,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
1999.52,1999,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
1999.53,1999,53,Operadores de maquinaria fija ,6,Operadores o conductores
1999.54,1999,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
1999.55,1999,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
1999.61,1999,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
1999.62,1999,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
1999.71,1999,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
1999.72,1999,72,Vendedores ambulantes ,5,Comerciantes
1999.81,1999,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
1999.82,1999,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
1999.83,1999,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
1999.98,1999,98,Insuficientemente especificada ,9,No especificado
1999.99,1999,99,No especificada,9,No especificado
2000.2,2000,2,No trabaja ,4,No trabajaba
2000.11,2000,11,Profesionistas ,8,Profesionista o técnicos
2000.12,2000,12,Técnicos ,8,Profesionista o técnicos
2000.13,2000,13,Trabajadores de la educación ,8,Profesionista o técnicos
2000.14,2000,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2000.21,2000,21,Funcionarios y directivos ,7,Directores o coordinadores
2000.41,2000,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2000.51,2000,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2000.52,2000,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2000.53,2000,53,Operadores de maquinaria fija ,6,Operadores o conductores
2000.54,2000,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2000.55,2000,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2000.61,2000,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2000.62,2000,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2000.71,2000,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2000.72,2000,72,Vendedores ambulantes ,5,Comerciantes
2000.81,2000,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2000.82,2000,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
2000.83,2000,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
2000.98,2000,98,Insuficientemente especificada ,9,No especificado
2000.99,2000,99,No especificada,9,No especificado
2001.2,2001,2,No trabaja ,4,No trabajaba
2001.11,2001,11,Profesionistas ,8,Profesionista o técnicos
2001.12,2001,12,Técnicos ,8,Profesionista o técnicos
2001.13,2001,13,Trabajadores de la educación ,8,Profesionista o técnicos
2001.14,2001,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2001.21,2001,21,Funcionarios y directivos ,7,Directores o coordinadores
2001.41,2001,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2001.51,2001,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2001.52,2001,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2001.53,2001,53,Operadores de maquinaria fija ,6,Operadores o conductores
2001.54,2001,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2001.55,2001,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2001.61,2001,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2001.62,2001,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2001.71,2001,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2001.72,2001,72,Vendedores ambulantes ,5,Comerciantes
2001.81,2001,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2001.82,2001,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
2001.83,2001,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
2001.98,2001,98,Insuficientemente especificada ,9,No especificado
2001.99,2001,99,No especificada,9,No especificado
2002.2,2002,2,No trabaja ,4,No trabajaba
2002.11,2002,11,Profesionistas ,8,Profesionista o técnicos
2002.12,2002,12,Técnicos ,8,Profesionista o técnicos
2002.13,2002,13,Trabajadores de la educación ,8,Profesionista o técnicos
2002.14,2002,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2002.21,2002,21,Funcionarios y directivos ,7,Directores o coordinadores
2002.41,2002,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2002.51,2002,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2002.52,2002,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2002.53,2002,53,Operadores de maquinaria fija ,6,Operadores o conductores
2002.54,2002,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2002.55,2002,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2002.61,2002,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2002.62,2002,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2002.71,2002,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2002.72,2002,72,Vendedores ambulantes ,5,Comerciantes
2002.81,2002,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2002.82,2002,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
2002.83,2002,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
2002.97,2002,97,No aplica a menores de 12 años ,10,No aplica
2002.98,2002,98,Insuficientemente especificada ,9,No especificado
2002.99,2002,99,No especificada,9,No especificado
2003.2,2003,2,No trabaja ,4,No trabajaba
2003.11,2003,11,Profesionistas ,8,Profesionista o técnicos
2003.12,2003,12,Técnicos ,8,Profesionista o técnicos
2003.13,2003,13,Trabajadores de la educación ,8,Profesionista o técnicos
2003.14,2003,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2003.21,2003,21,Funcionarios y directivos ,7,Directores o coordinadores
2003.41,2003,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2003.51,2003,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2003.52,2003,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2003.53,2003,53,Operadores de maquinaria fija ,6,Operadores o conductores
2003.54,2003,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2003.55,2003,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2003.61,2003,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2003.62,2003,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2003.71,2003,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2003.72,2003,72,Vendedores ambulantes ,5,Comerciantes
2003.81,2003,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2003.82,2003,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
2003.83,2003,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
2003.97,2003,97,No aplica a menores de 12 años ,10,No aplica
2003.98,2003,98,Insuficientemente especificada ,9,No especificado
2003.99,2003,99,No especificada,9,No especificado
2004.2,2004,2,No trabaja ,4,No trabajaba
2004.11,2004,11,Profesionistas ,8,Profesionista o técnicos
2004.12,2004,12,Técnicos ,8,Profesionista o técnicos
2004.13,2004,13,Trabajadores de la educación ,8,Profesionista o técnicos
2004.14,2004,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2004.21,2004,21,Funcionarios y directivos ,7,Directores o coordinadores
2004.41,2004,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2004.51,2004,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2004.52,2004,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2004.53,2004,53,Operadores de maquinaria fija ,6,Operadores o conductores
2004.54,2004,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2004.55,2004,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2004.61,2004,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2004.62,2004,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2004.71,2004,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2004.72,2004,72,Vendedores ambulantes ,5,Comerciantes
2004.81,2004,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2004.82,2004,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
2004.83,2004,83,"Trabajadores de fuerzas armadas, protección y vigilancia ",11,Seguridad
2004.97,2004,97,No aplica a menores de 12 años ,10,No aplica
2004.98,2004,98,Insuficientemente especificada ,9,No especificado
2004.99,2004,99,No especificada,9,No especificado
2005.2,2005,2,No trabaja ,4,No trabajaba
2005.11,2005,11,Profesionistas ,8,Profesionista o técnicos
2005.12,2005,12,Técnicos ,8,Profesionista o técnicos
2005.13,2005,13,Trabajadores de la educación ,8,Profesionista o técnicos
2005.14,2005,14,"Trabajadores del arte, deportes y espectáculos ",3,"Empleados, auxiliares o ayudantes"
2005.21,2005,21,Funcionarios y directivos ,7,Directores o coordinadores
2005.41,2005,41,"Trabajadores en actividades agrícolas, ganaderas, caza y pesca ",1,Agricultor
2005.51,2005,51,Personal de control en el proceso de producción industrial ,3,"Empleados, auxiliares o ayudantes"
2005.52,2005,52,Trabajadores en la industria de la transformación ,3,"Empleados, auxiliares o ayudantes"
2005.53,2005,53,Operadores de maquinaria fija ,6,Operadores o conductores
2005.54,2005,54,Ayudantes en el proceso de producción industrial y artesanal ,3,"Empleados, auxiliares o ayudantes"
2005.55,2005,55,Conductores de maquinaria móvil y medios de transporte ,6,Operadores o conductores
2005.61,2005,61,Trabajadores administrativos de nivel intermedio ,3,"Empleados, auxiliares o ayudantes"
2005.62,2005,62,Trabajadores administrativos de nivel inferior ,3,"Empleados, auxiliares o ayudantes"
2005.71,2005,71,"Comerciantes, empleados de comercio y agentes de ventas ",5,Comerciantes
2005.72,2005,72,Vendedores ambulantes ,5,Comerciantes
2005.81,2005,81,Trabajadores en servicios personales en establecimientos ,3,"Empleados, auxiliares o ayudantes"
2005.82,2005,82,Trabajadores en servicios domésticos ,3,"Empleados, auxiliares o ayudantes"
